Time (s),V_a (V),V_b (V),V_c (V),I_a (A),I_b (A),I_c (A)
0.0,0.0,-21564.032552340253,21564.032552340253,20.408163265306122,6.024096385542169,4.016064257028113
0.0001,782.1279009767618,-21944.455954492652,21162.328053515896,20.408163265306122,6.024096385542169,4.016064257028113
0.0002,1563.4839361427053,-22303.222828004247,20739.73889186154,20.408163265306122,6.024096385542169,4.016064257028113
0.00030000000000000003,2343.297001425379,-22639.97911328532,20296.682111859947,20.408163265306122,6.024096385542169,4.016064257028113
0.0004,3120.797515477322,-22954.392472539388,19833.594957062065,20.408163265306122,6.024096385542169,4.016064257028113
0.0005,3895.2181791599382,-23246.15261774045,19350.93443858051,20.408163265306122,6.024096385542169,4.016064257028113
0.0006000000000000001,4665.7947327751135,-23514.971616849813,18849.1768840747,20.408163265306122,6.024096385542169,4.016064257028113
0.0007,5431.766710297265,-23760.584177970275,18328.81746767301,20.408163265306122,6.024096385542169,4.016064257028113
0.0008,6192.378189861495,-23982.747911157174,17790.369721295683,20.408163265306122,6.024096385542169,4.016064257028113
0.0009000000000000001,6946.878539767213,-24181.243567628007,17234.365027860793,20.408163265306122,6.024096385542169,4.016064257028113
0.001,7694.523159260986,-24355.875256134503,16661.352096873517,20.408163265306122,6.024096385542169,4.016064257028113
0.0011,8434.574213367612,-24506.47063628365,16071.89642291604,20.408163265306122,6.024096385542169,4.016064257028113
0.0012000000000000001,9166.301361044127,-24632.881088616843,15466.57972757272,20.408163265306122,6.024096385542169,4.016064257028113
0.0013000000000000002,9888.982475938268,-24734.981861279346,14845.999385341085,20.408163265306122,6.024096385542169,4.016064257028113
0.0014,10601.904359039978,-24812.672193135317,14210.767834095337,20.408163265306122,6.024096385542169,4.016064257028113
0.0015,11304.363442522743,-24865.875413206875,13561.51197068414,20.408163265306122,6.024096385542169,4.016064257028113
0.0016,11995.666484080077,-24894.539016339124,12898.872532259049,20.408163265306122,6.024096385542169,4.016064257028113
0.0017000000000000001,12675.131251071987,-24898.634715016367,12223.503463944382,20.408163265306122,6.024096385542169,4.016064257028113
0.0018000000000000002,13342.087193806232,-24878.158467278485,11536.07127347226,20.408163265306122,6.024096385542169,4.016064257028113
0.0019,13995.876107289896,-24833.130480709868,10837.254373419973,20.408163265306122,6.024096385542169,4.016064257028113
0.002,14635.852780798266,-24763.595192496967,10127.742411698708,20.408163265306122,6.024096385542169,4.016064257028113
0.0021000000000000003,15261.385634619912,-24669.621225574156,9408.235590954246,20.408163265306122,6.024096385542169,4.016064257028113
0.0022,15871.857343349599,-24551.301320901162,8679.44397755157,20.408163265306122,6.024096385542169,4.016064257028113
0.0023,16466.66544511396,-24408.752245938977,7942.086800825023,20.408163265306122,6.024096385542169,4.016064257028113
0.0024000000000000002,17045.222936128608,-24242.11467941441,7196.891743285808,20.408163265306122,6.024096385542169,4.016064257028113
0.0025,17606.958850000003,-24051.553072487244,6444.594222487252,20.408163265306122,6.024096385542169,4.016064257028113
0.0026000000000000003,18151.318821200348,-23837.25548645672,5685.93666525638,20.408163265306122,6.024096385542169,4.016064257028113
0.0027,18677.765632159448,-23599.4334071678,4921.667775008363,20.408163265306122,6.024096385542169,4.016064257028113
0.0028,19185.779743433577,-23338.32153630013,4152.541792866565,20.408163265306122,6.024096385542169,4.016064257028113
0.0029000000000000002,19674.859806428198,-23054.177559745833,3379.3177533176417,20.408163265306122,6.024096385542169,4.016064257028113
0.003,20144.523158168486,-22747.28189330466,2602.7587351361826,20.408163265306122,6.024096385542169,4.016064257028113
0.0031000000000000003,20594.306297629413,-22417.93740594741,1823.631108318003,20.408163265306122,6.024096385542169,4.016064257028113
0.0032,21023.76534315531,-22066.469120920883,1042.7037777655767,20.408163265306122,6.024096385542169,4.016064257028113
0.0033,21432.47647051747,-21693.223894989103,260.7474244716483,20.408163265306122,6.024096385542169,4.016064257028113
0.0034000000000000002,21820.03633117747,-21298.570076127635,-521.4662550498267,20.408163265306122,6.024096385542169,4.016064257028113
0.0035,22186.062450343503,-20882.897140008554,-1303.1653103349404,20.408163265306122,6.024096385542169,4.016064257028113
0.0036000000000000003,22530.193604426833,-20446.61530563501,-2083.5782987918187,20.408163265306122,6.024096385542169,4.016064257028113
